Tue Dec 20 09:55:15 2022    output.dat

         38911626 function calls (38190086 primitive calls) in 921.456 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.004    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/h5py/_hl/files.py:206(make_fid)
     1973    0.004    0.000    0.009    0.000 /usr/lib/python3.8/copy.py:66(copy)
      168    0.004    0.000    0.004    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      767    0.004    0.000    0.005    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
     1972    0.004    0.000    0.004    0.000 {method '__copy__' of 'numpy.ndarray' objects}
     1858    0.004    0.000    0.005    0.000 {built-in method builtins.any}
      138    0.004    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/_methods.py:107(_clip_dep_invoke_with_casting)
      978    0.004    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1692(<dictcomp>)
     1785    0.004    0.000    0.169    0.000 <__array_function__ internals>:177(unique)
      336    0.004    0.000    0.007    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:637(translated)
     1882    0.003    0.000    0.011    0.000 <__array_function__ internals>:177(dot)
      522    0.003    0.000    0.005    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:2946(_update_from)
     1627    0.003    0.000    0.027    0.000 <__array_function__ internals>:177(norm)
     5113    0.003    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:107(__init__)
      516    0.003    0.000    0.013    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:769(<dictcomp>)
      144    0.003    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/patches.py:554(_bind_draw_path_function)
       60    0.003    0.000    0.017    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/lines.py:276(__init__)
      252    0.003    0.000    0.015    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:2814(__new__)
     1680    0.003    0.000    0.004    0.000 /usr/lib/python3.8/enum.py:313(__call__)
      504    0.003    0.000    0.013    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:275(_get_layout_cache_key)
     1290    0.003    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/colors.py:152(to_rgba)
      876    0.003    0.000    0.007    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:826(get_unitless_position)
      504    0.003    0.000    0.024    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:290(_get_layout)
      168    0.003    0.000    0.003    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     1448    0.003    0.000    0.003    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
      168    0.003    0.000    0.187    0.001 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axis.py:291(draw)
      672    0.003    0.000    0.014    0.000 <__array_function__ internals>:177(reshape)
      768    0.003    0.000    0.041    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2417(transform_affine)
     9906    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      212    0.003    0.000    0.016    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:1248(findfont)
      168    0.003    0.000    0.035    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:224(draw_text)
     1448    0.003    0.000    0.006    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
      455    0.002    0.000    0.024    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:162(update)
       17    0.002    0.000    0.003    0.000 {built-in method io.open}
     1053    0.002    0.000    0.016    0.000 <__array_function__ internals>:177(concatenate)
1448/1274    0.002    0.000    0.022    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
     1399    0.002    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/colors.py:106(_is_nth_color)
       42    0.002    0.000    3.201    0.076 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/image.py:622(draw)
      276    0.002    0.000    0.010    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axis.py:453(update_position)
     1599    0.002    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/__init__.py:1180(is_interactive)
      523    0.002    0.000    0.035    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:1159(set)
      857    0.002    0.000    0.005    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1862(transform_affine)
     1404    0.002    0.000    0.007    0.000 /usr/lib/python3.8/re.py:188(match)
     7777    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
      730    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:207(set_children)
     2028    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
     1020    0.002    0.000    0.009    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2802(amin)
     1149    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:823(clean)
       18    0.002    0.000    0.009    0.000 /home/vbundu/.local/lib/python3.8/site-packages/h5py/_hl/filters.py:338(guess_chunk)
     1599    0.002    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/pyplot.py:833(_auto_draw_if_interactive)
       72    0.002    0.000    0.029    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/patches.py:606(draw)
        6    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:2331(masked_invalid)
      672    0.002    0.000    0.009    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:198(reshape)
     1576    0.002    0.000    0.012    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/figure.py:46(_stale_figure_callback)
  958/717    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:180(_invalidate_internal)
      184    0.002    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1319(diff)
1184/1172    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:276(process)
       96    0.002    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/ticker.py:788(_set_format)
     1032    0.002    0.000    0.007    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2677(amax)
     1133    0.002    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:405(pchanged)
        2    0.002    0.001    0.005    0.002 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:1311(_findfont_cached)
      143    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:149(__init__)
      223    0.002    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/path.py:99(__init__)
      110    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2839(nonsingular)
      397    0.002    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2351(__init__)
      377    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2057(scale)
      857    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
  492/396    0.002    0.000    0.004    0.000 {method 'view' of 'numpy.generic' objects}
    10603    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x7fefe5eca8b0}
      276    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/_methods.py:92(_clip_dep_is_scalar_nan)
      120    0.002    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:487(transformed)
       96    0.002    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1426(__sub__)
      126    0.002    0.000    0.013    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/colors.py:1180(process_value)
      432    0.002    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2919(_interval_contains_close)
