Tue Dec 20 09:55:15 2022    output.dat

         38911626 function calls (38190086 primitive calls) in 921.456 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2308    0.006    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1976(_setattr_cm)
     2288    0.021    0.000    0.021    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2226    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1822(get_affine)
     2141    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2129    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     2101    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
2073/1175    0.002    0.000    0.010    0.000 {built-in method builtins.hash}
     2064    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:770(<genexpr>)
     2054    0.041    0.000    0.041    0.000 {method 'argsort' of 'numpy.ndarray' objects}
     2028    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
     1995    0.020    0.000    0.670    0.000 /home/vbundu/tumor_growth/TumorSim.py:953(Angiogeneis3D)
     1973    0.004    0.000    0.009    0.000 /usr/lib/python3.8/copy.py:66(copy)
     1972    0.004    0.000    0.004    0.000 {method '__copy__' of 'numpy.ndarray' objects}
     1972    0.194    0.000    0.613    0.000 /home/vbundu/tumor_growth/TumorSim.py:1029(direction)
     1882    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:736(dot)
     1882    0.003    0.000    0.011    0.000 <__array_function__ internals>:177(dot)
     1858    0.004    0.000    0.005    0.000 {built-in method builtins.any}
 1824/876    0.018    0.000    0.044    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2441(get_affine)
     1785    0.009    0.000    0.009    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1785    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:125(_unpack_tuple)
     1785    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:133(_unique_dispatcher)
     1785    0.010    0.000    0.160    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:138(unique)
     1785    0.044    0.000    0.147    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
     1785    0.004    0.000    0.169    0.000 <__array_function__ internals>:177(unique)
1716/1669    0.053    0.000   13.547    0.008 /usr/lib/python3.8/copy.py:128(deepcopy)
     1680    0.003    0.000    0.004    0.000 /usr/lib/python3.8/enum.py:313(__call__)
     1680    0.001    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:631(__new__)
     1674    0.012    0.000    0.014    0.000 /usr/lib/python3.8/copy.py:242(_keep_alive)
     1668   13.474    0.008   13.474    0.008 {method '__deepcopy__' of 'numpy.ndarray' objects}
     1664    0.005    0.000    0.021    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:81(_stale_axes_callback)
     1629    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:117(isComplexType)
     1627    0.005    0.000    0.005    0.000 {method 'dot' of 'numpy.ndarray' objects}
     1627    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:2353(_norm_dispatcher)
     1627    0.011    0.000    0.019    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:2357(norm)
     1627    0.003    0.000    0.027    0.000 <__array_function__ internals>:177(norm)
     1616    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     1599    0.002    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/pyplot.py:833(_auto_draw_if_interactive)
     1599    0.002    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/__init__.py:1180(is_interactive)
     1576    0.002    0.000    0.012    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/figure.py:46(_stale_figure_callback)
     1508    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1772(<lambda>)
     1478    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:861(get_text)
     1448    0.003    0.000    0.003    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
1448/1274    0.001    0.000    0.031    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
1448/1274    0.002    0.000    0.022    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
     1448    0.003    0.000    0.006    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
     1424    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     1411    0.001    0.000    0.007    0.000 /usr/lib/python3.8/re.py:289(_compile)
     1404    0.002    0.000    0.007    0.000 /usr/lib/python3.8/re.py:188(match)
     1402    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:775(get_size_in_points)
     1399    0.002    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/colors.py:106(_is_nth_color)
     1392    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/_api/__init__.py:80(<genexpr>)
     1392    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:3407(dtype)
     1389    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/figure.py:2439(_get_dpi)
     1356    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/path.py:200(vertices)
  1302/12    0.011    0.000    3.726    0.311 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:32(draw_wrapper)
